Graph,Description,domination_number,total_domination_number,connected_domination_number,independence_number,zero_forcing_number,diameter,radius,order,independent_domination_number,chromatic_number,matching_number,min_maximal_matching_number,triameter,min_degree,max_degree,clique_number,residue,annihilation_number,vertex_cover_number,girth,density,estrada_index,transitivity,global_efficiency,local_efficiency,wiener_index,algebraic_connectivity,k-slater-index,k_residual_index,randic_index,augmented_randic_index,harmonic_index,atom_bond_connectivity_index,sum_connectivity_index,first_zagreb_index,second_zagreb_index,slater,sub_total_domination_number,CW_disparity,closed_CW_disparity,inverse_disparity,closed_inverse_disparity,average_vertex_disparity,average_closed_vertex_disparity,irregularity,2-residue,number_of_degree_one_nodes,average_degree,number_of_min_degree_nodes,number_of_max_degree_nodes,is_bipartite,is_eulerian,is_planar,is_regular,is_cubic,is_not_K_n,is_triangle_free,is_claw_free,is_tree,is_at_free,has_bridges,is_chordal,is_2_edge_connected,is_distance_regular,is_strongly_regular,is_semieulerian,is_bull_free,is_complete_graph,is_sub_cubic,name,paired_domination_number,power_domination_number,2-power_domination_number,2-domination_number,2-forcing_number,total_forcing_number
G10.txt,Medium rising,2,3,3,3,1,4,2,5,2,2,2,2,8,1,2,2,2,3,2,1000000,0.4,9.91531615,0,0.641666667,0,20,0.381966011,1,2,2.414213562,2,2.333333333,2.828427125,2.154700538,14,12,2,3,2.166666667,1.833333333,4,3,1.4,1.8,1.933333333,3,2,1.6,2,3,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,graph-2,4,1,1,3,1,2
G14.txt,Medium rising,2,2,2,3,2,3,2,5,2,3,2,1,7,1,3,3,3,3,2,3,0.5,13.32724713,0.428571429,0.733333333,0.333333333,16,0.697224362,1,1,2.304530453,1.666666667,2.133333333,3.713873391,2.302675481,24,27,2,2,2,1.5,3.666666667,2.166666667,1.8,2.4,2.6,3,2,2,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,graph-6,2,1,1,3,1,2
G16.txt,Medium rising,2,2,2,2,2,3,2,5,2,3,2,2,7,1,3,3,2,3,3,3,0.5,13.01184519,0.5,0.716666667,0.466666667,17,0.518805696,1,1,2.431851653,2,2.366666667,3.535533906,2.418991056,22,24,2,2,2,1.583333333,3.5,2.333333333,1.6,2.2,2.333333333,3,1,2,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,graph-8,2,1,1,3,1,2
G18.txt,Long rising,2,2,2,2,2,2,2,5,2,3,2,2,5,2,3,3,2,3,3,3,0.6,15.3927179,0.333333333,0.8,0.333333333,14,1.381966011,1,1,2.466326495,2.166666667,2.433333333,4.202200573,2.697102672,30,37,2,2,1.833333333,1.666666667,3,2.5,1.8,2,2,2.5,0,2.4,3,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,graph-10,2,1,1,3,1,2
G20.txt,Long complex,2,2,2,2,2,3,2,5,2,3,2,2,6,1,3,3,2,3,3,3,0.6,17.18397967,0.6,0.783333333,0.6,15,0.829913513,1,1,2.39384685,2,2.3,4.230710143,2.619172062,32,42,2,2,2,1.666666667,3.5,2.5,1.6,2,2,2.5,1,2.4,1,3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,graph-12,2,1,1,3,1,2
G21.txt,Short complex ,1,2,1,2,3,2,1,5,1,3,2,2,5,2,4,3,2,3,3,3,0.6,16.61977056,0.6,0.8,0.866666667,14,1,1,1,2.414213562,2,2.333333333,4.242640687,2.632993162,32,40,1,2,1.833333333,1.666666667,3,2.5,1.8,2,2,3,0,2.4,4,1,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,graph-13,2,1,1,3,1,3
G23.txt,Long rising,1,2,1,2,2,2,1,5,1,3,2,2,5,2,4,3,2,3,3,3,0.7,21.7421274,0.642857143,0.85,0.877777778,13,1.585786438,1,1,2.434286965,2,2.371428571,4.78608824,2.875101008,42,61,1,2,1.5,1.25,2.166666667,1.666666667,2.4,3,3,2.5,0,2.8,2,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,graph-15,2,1,1,3,1,2
G24.txt,Long rising,2,2,1,2,3,2,2,5,2,3,2,2,5,2,3,3,2,2,3,3,0.7,20.24846264,0.461538462,0.85,0.466666667,13,2,1,1,2.483163248,2.333333333,2.466666667,4.747546896,2.935668643,40,57,2,2,2.166666667,2,4,3.5,1.4,1.6,1.8,2,0,2.8,1,4,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,graph-16,2,1,1,2,1,3
G27.txt,Long rising,1,2,1,2,3,2,1,5,1,4,2,2,5,2,4,4,2,3,3,3,0.8,30.10691981,0.789473684,0.9,0.933333333,12,2,1,1,2.445140653,2.083333333,2.392857143,5.275241562,3.090156154,54,89,1,2,1.666666667,1.5,2.666666667,2.166666667,2.2,2.4,2.6,2.5,0,3.2,1,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,graph-19,2,1,1,2,1,3
G28.txt,Medium complex,1,2,1,2,3,2,1,5,1,4,2,2,4,3,4,4,2,2,3,3,0.9,40.24017242,0.875,0.95,0.95,11,3,1,1,2.482050808,2.25,2.464285714,5.710100653,3.32844701,66,120,1,2,2,1.666666667,3.5,2.5,1.6,2,2,2,0,3.6,2,3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,graph-20,2,1,1,2,2,3
