variable,mean,min,median,max,nmissing,eltype
domination_number,3.0526315789473686,1,3.0,5,0,Int64
total_domination_number,3.8684210526315788,2,4.0,6,0,Int64
connected_domination_number,1.0263157894736843,1,1.0,2,0,Int64
independence_number,4.184210526315789,2,4.0,8,0,Int64
zero_forcing_number,3.736842105263158,2,4.0,6,0,Int64
diameter,3.789473684210526,2,4.0,7,0,Int64
radius,2.710526315789474,1,3.0,4,0,Int64
order,10.105263157894736,5,10.5,17,0,Int64
independent_domination_number,3.0526315789473686,1,3.0,5,0,Int64
chromatic_number,2.973684210526316,2,3.0,4,0,Int64
